Title,Genre,Tags,cast,Rating,type
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Lina Leandersson, Kåre Hedebrant, Per Ragnar, Henrik Dahl",7.9,Series
Gleboka woda,Drama,"TV Dramas,Polish TV Shows,Social Issue TV Dramas","Katarzyna Maciag, Piotr Nowak, Marcin Dorocinski, Julia Kijowska",7.5,Series
Girls und Panzer das Finale,"Animation, Action, Comedy","Drama Anime,Action & Adventure,Action Anime,Anime Movies,Japanese Movies,School Anime,Military & War Anime","Ikumi Nakagami, Mai Fuchigami, Mami Ozaki, Ai Kayano",7.3,Series
The Coroner,"Crime, Drama","Mystery Programmes,Drama Programmes,Crime TV Dramas,Canadian TV Programmes,TV Programmes Based on Books","Matt Bardock, Oliver Gomm, Claire Goose, Beatie Edney",7.0,Series
Brave New World,"Drama, Sci-Fi","TV Dramas,US TV Shows,TV Shows Based on Books,Sci-Fi TV","Harry Lloyd, Alden Ehrenreich, Nina Sosanya, Jessica Brown Findlay",7.1,Series
Years and Years,"Drama, Sci-Fi","TV Dramas,Political TV Shows,British","Ruth Madeley, T'Nia Miller, Anne Reid, Rory Kinnear",8.3,Series
The New Pope,Drama,"TV Dramas,Italian TV Shows","Silvio Orlando, Jude Law, John Malkovich, Cécile de France",8.2,Series
The Bold Type,Drama,"TV Comedies,TV Dramas,US TV Shows","Aisha Dee, Meghann Fahy, Melora Hardin, Katie Stevens",8.0,Series
Alice,"Comedy, Romance","TV Mysteries,TV Dramas,Korean TV Shows,TV Thrillers,Futuristic Sci-Fi,Sci-Fi TV","William Hurt, June Squibb, Joe Mantegna, Mia Farrow",6.6,Series
The Last Bastion,"Drama, History, War","TV Dramas,Period Pieces,Political TV Shows,Social Issue TV Dramas","Bill Hunter, Phil Perman, Ron Blanchard, Colin McEwan",8.5,Series
Princess Principal,"Animation, Action, Adventure, Drama, Sci-Fi","Action Anime,Anime Series,Mystery & Thriller Anime","Akari Kageyama, Ayaka Imamura, Akira Sekine, You Taichi",7.3,Series
Chihayafuru,"Animation, Comedy, Drama","Drama Anime,Anime Series,Teen TV Shows,Japanese TV Shows,Romance Anime,School Anime,Family Watch Together TV,TV Shows Based on Manga","Tôru Nara, Ai Kayano, Mamoru Miyano, Asami Seto",8.2,Series
Oh My JUMP!,Drama,"TV Comedies,TV Dramas,Japanese TV Series","Atsushi Itô, Rina Ikoma, Kendô Kobayashi, Toru Baba",8.4,Series
Sisyphus,"Animation, Short","TV Action & Adventure,TV Dramas,Korean TV Shows,TV Thrillers,Sci-Fi TV",,6.9,Series
Artysci,Drama,"TV Dramas,Polish TV Shows","Marcin Czarnik, Klara Bielawka, Michal Majnicz, Adam Cywka",7.9,Series
New Amsterdam,Drama,"TV Dramas,US TV Shows,TV Shows Based on Books,Social Issue TV Dramas","Freema Agyeman, Janet Montgomery, Ryan Eggold, Jocko Sims",8.1,Series
Wheel of Fortune,"Family, Game-Show","Reality TV,Competition Reality TV,US TV Shows,Family Watch Together TV","Pat Sajak, Charlie O'Donnell, Vanna White",6.7,Series
White House Farm,"Biography, Crime, Drama, Mystery, Thriller","Drama Programmes,Crime TV Dramas,TV Programmes Based on Books,British","Alexa Davies, Scott Reid, Mark Addy, Freddie Fox",7.4,Series
Capitani,"Crime, Drama, Mystery, Thriller","TV Dramas,Crime TV Dramas","Sophie Mousel, Claude De Demo, Luc Schiltz, Joe Dennenwald",7.1,Series
Paradoks,Crime,"TV Dramas,Crime TV Dramas,Polish TV Shows","Cezary Lukaszewicz, Boguslaw Linda, Andrzej Zielinski, Anna Grycewicz",7.0,Series
Dont be the First one,"Action, Crime, Thriller",Reality TV,"Isha Koppikar, Priyanka Chopra, Shah Rukh Khan, Arjun Rampal",7.2,Series
Invisible City,Documentary,"TV Dramas,Crime TV Dramas,Brazilian TV Shows,Fantasy TV Shows",,7.3,Series
Kid Cosmic,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","TV Comedies,TV Cartoons,Kids&#39; TV","Keith Ferguson, Amanda Céline Miller, Tom Kenny, Lily Rose Silver",8.3,Series
Zac and Mia,Drama,"TV Dramas,Romantic TV Dramas,Teen TV Shows,Romantic Favorites,TV Shows Based on Books","Tory Devon Smith, Anne Winters, Keli Daniels, Kian Lawley",7.9,Series
My Dead Ex,Comedy,"TV Comedies,Teen TV Shows","Katherine Hughes, Ryan Malaty, Medalion Rahimi, Ryan Lee",7.0,Series
Blippi,Family,"Education for Kids,Kids&#39; TV",Stevin John,7.8,Series
The House Arrest of Us,"Comedy, Romance","TV Comedies,Romantic TV Comedies,Filipino TV Shows,Family Watch Together TV","Kathryn Bernardo, Ruffa Gutierrez, Herbert Bautista, Daniel Padilla",8.3,Series
Ace Attorney,"Comedy, Crime, Drama, Mystery, Thriller","Anime Series,Anime based on a Video Game,Mystery & Thriller Anime","Mirei Kiritani, Akiyoshi Nakao, Hiroki Narimiya, Takumi Saitoh",6.6,Series
We Are: The Brooklyn Saints,"Documentary, Sport","Sports Documentaries,Social & Cultural Docs,Sports & Fitness,Docuseries",,7.0,Series
50M2,"Comedy, Drama, Thriller","TV Dramas,TV Thrillers,Turkish TV Shows","Engin Öztürk, Aybüke Pusat, Cengiz Bozkurt, Kürsat Alniaçik",7.0,Series
Lara,"Drama, Music","TV Action & Adventure,TV Dramas","Tom Schilling, Corinna Harfouch, Mala Emde, Rainer Bock",7.1,Series
Flower of Evil,Drama,"Mystery Programmes,Drama Programmes,Crime TV Dramas,Korean Programmes,TV Thrillers","Lyda Borelli, Pina Menichelli, Ruggero Barni, Fulvia Perini",6.7,Series
Investiture of the Gods,"Action, Fantasy, History","TV Action & Adventure,Period Pieces,Fantasy TV Shows,TV Shows Based on Books,Mainland Chinese TV Shows","Wei-De Huang, Te-Kai Liu, Ray Lui, Ruby Lin",7.3,Series
Fate: The Winx Saga,"Action, Adventure, Drama, Fantasy","TV Dramas,Teen TV Shows,Italian TV Shows,Fantasy TV Shows","Eliot Salt, Abigail Cowen, Precious Mustapha, Hannah van der Westhuysen",7.0,Series
Cromartie High School,"Animation, Comedy","Anime Series,Comedy Anime,School Anime,Anime Based on Comics","Takahiro Sakurai, Ben Pronsky, Takuma Suzuki, Allen Divers",7.7,Series
Im Home,"Action, Adventure, Fantasy, Sci-Fi","Mystery Programmes,Drama Programmes,Japanese TV Programmes,TV Programmes Based on Manga","Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",6.5,Series
Daughter From Another Mother,"Comedy, Drama","TV Comedies,TV Dramas,Mexican TV Shows","Rocío Leal, Ana Karina Guevara",7.3,Series
Sluzby specjalne,,"TV Action & Adventure,TV Dramas,Crime TV Dramas,TV Thrillers,Polish TV Shows","Kamilla Baar, Janusz Chabior, Wojciech Machnicki, Olga Boladz",6.8,Series
Bungo Stray Dogs WAN!,"Animation, Comedy","Anime Series,Comedy Anime,Anime Based on Comics","Landon McDonald, Kaiji Tang, Nicolas Roye, Max Mittelman",7.1,Series
Ever Night,"Adventure, Drama, Fantasy, Romance","TV Action & Adventure,TV Dramas,Period Pieces,Mainland Chinese TV Shows",Ziyi Meng,8.3,Series
Mushoku Tensei: Jobless Reincarnation,"Animation, Adventure, Fantasy","Anime Series,Sci-Fi & Fantasy Anime,Anime based on Light Novels","Ben Phillips, Madeleine Morris, Bryn Apprill, Dani Chambers",8.7,Series
"So Im a Spider, So What?","Comedy, Romance","Action Anime,Anime Series,Sci-Fi & Fantasy Anime,Anime based on Light Novels","Mike Myers, Amanda Plummer, Anthony LaPaglia, Nancy Travis",6.4,Series
Sesame Street,"Animation, Adventure, Comedy, Family, Fantasy, Music","Education for Kids,Kids&#39; TV,Kids Music","Jerry Nelson, Caroll Spinney, Sonia Manzano, Frank Oz",8.1,Series
Informer,"Crime, Drama, Thriller","Drama Programmes,Crime TV Dramas,TV Thrillers,Social Issue TV Dramas,British","Paddy Considine, Bel Powley, Nabhaan Rizwan, Reiss Jeram",7.9,Series
